# dcut planecut  dE[eV]  Strainx100  icrit  rc[A]  yc[A]  nbatminx yboxlen[A] dErlx2[eV] ycrlx[A] rcut2[A] nu50Krlx2[/s] nu300Krlx2[/s] nu1000Krlx2[/s] {lognu50Krlx2} {lognu300Krlx2} {lognu1000Krlx2}
0.85 10 0.878000 111 15 6.5234 -10.24499271830000000000 4 73.0589795398 1.5 4 NaN 1.448556256278469e-135 1.430305373367239e-09 6.232436276575472e+08 -1.348390646338279e+02 -8.844571229800838e+00 8.794657846762956e+00
0.85 12 1.099000 111 15 7.9621 -25.56576756410000000000 4 73.0532320779 1.099000 12 7.9621 1.888552491580311e-96 3.873419736024102e-04 3.249149773644931e+09 -9.572387093962287e+01 -3.411905438939025e+00 9.511769731156715e+00
0.85 14 1.103000 111 15 8.1083 -29.95002122720000000000 4 73.0527873857 1.103000 14 8.1083 7.690464374681313e-97 3.419033697036877e-04 3.196071565914163e+09 -9.611404743532567e+01 -3.466096618897744e+00 9.504616495402164e+00
0.85 16 1.101000 111 15 8.0716 -34.33428368320000000000 4 73.0525574428 1.101000 16 8.0716 1.205149188117936e-96 3.639141739508656e-04 3.222501389440041e+09 -9.591895918747429e+01 -3.439001028918385e+00 9.508193113279440e+00
0.85 18 1.101000 111 15 8.0716 -38.71827375960000 4 73.0525574428 1.101000 16 8.0716 1.205149188117936e-96 3.639141739508656e-04 3.222501389440041e+09 -9.591895918747429e+01 -3.439001028918385e+00 9.508193113279440e+00
0.85 20 1.103000 111 15 8.1083 -43.10276615850000 4 73.0527873857 1.103000 14 8.1083 7.690464374681313e-97 3.419033697036877e-04 3.196071565914163e+09 -9.611404743532567e+01 -3.466096618897744e+00 9.504616495402164e+00
0.85 22 1.099000 111 15 7.9621 -47.48746451380001 4 73.0532320779 1.099000 12 7.9621 1.888552491580311e-96 3.873419736024102e-04 3.249149773644931e+09 -9.572387093962287e+01 -3.411905438939025e+00 9.511769731156715e+00
0.85 24 0.878000 111 15 6.5234 -62.81398682150001 4 73.0589795398 1.5 4 NaN 1.448556256278469e-135 1.430305373367239e-09 6.232436276575472e+08 -1.348390646338279e+02 -8.844571229800838e+00 8.794657846762956e+00
0.85 26 0.879000 111 14 6.5173 -62.81048865880000 4 73.0545329048 1.5 4 NaN 1.448556256278469e-135 1.430305373367239e-09 6.232436276575472e+08 -1.348390646338279e+02 -8.844571229800838e+00 8.794657846762956e+00
0.85 28 0.879000 111 14 6.5172 -62.81072941440000 4 73.0546404775 1.5 4 NaN 1.448556256278469e-135 1.430305373367239e-09 6.232436276575472e+08 -1.348390646338279e+02 -8.844571229800838e+00 8.794657846762956e+00
0.85 30 0.884000 111 14 6.5171 -62.81084660820001 4 73.0547782950 0.884000 4 6.5171 1.770580612212486e-75 3.168622369308350e-01 7.875101372432903e+09 -7.475188429559772e+01 -4.991295161577522e-01 9.896256152963844e+00
0.85 32 0.795000 111 14 11.957 -70.60272705240001 1 73.0551355374 0.795000 2 11.957 8.502423513769319e-67 5.088903762754216e+00 1.136097615972749e+10 -6.607045726621057e+01 7.066242379237968e-01 1.005541564850261e+01
0.85 34 0.791000 111 15 11.957 -70.60341835660000 1 73.0554423345 0.791000 2 11.957 2.087945841640416e-66 5.765213804842753e+00 1.154965161338801e+10 -6.568028077050778e+01 7.608154178825175e-01 1.006256888425716e+01
